RMM,C0/Si1,C/L,Si,Methyl,C,H,O,F,N,Cl,Br,Ben,C=C,H-,C=O,C-O,0,1,0,1,2
468.9,0,0,3,15,24,48,3,0,0,0,0,1,0,0,0,3,9.8219185,0.9668047,0.3503015,0.91578645,0.35815108
270.47,0,0,2,6,12,22,3,0,0,0,0,1,0,1,0,3,4.324358,-3.262226,0.12482414,3.5149622,-0.042560015
240.37,0,0,1,5,12,20,3,0,0,0,0,1,0,2,0,3,3.659154,-5.6577196,0.22809264,2.418408,1.1870486
338.6,0,0,2,10,18,34,2,0,0,0,0,1,0,0,0,2,7.7092648,0.45303476,0.22799362,3.2021205,-0.07527995
240.44,1,1,2,5,11,20,2,0,0,0,0,1,0,0,0,1,4.857126,0.09201479,1.1670998,3.3662927,0.5634159
430.8,0,0,4,12,18,38,4,0,0,0,0,1,0,0,0,4,7.5453362,0.075134754,0.14843412,3.6143029,0.2020125
278.49,0,0,2,4,14,22,2,0,0,0,0,1,2,0,0,2,6.358256,-0.106567025,0.010159378,3.9246354,0.5993279
763.4,0,0,3,9,45,90,3,0,0,0,0,1,0,0,0,3,14.59531,1.0773976,0.5457298,0.11820471,1.2453024
198.29,0,0,1,3,9,14,3,0,0,0,0,1,0,2,0,3,2.9613006,-6.0489893,0.003953154,0.7328564,22.801754
354.6,0,0,2,6,18,34,3,0,0,0,0,1,0,1,0,3,7.555609,-1.5434192,-0.060956214,3.3546884,0.8622433
226.42,0,0,2,4,10,18,2,0,0,0,0,1,0,2,0,2,4.8894234,0.14095259,-0.2711906,3.4656284,0.015728615
326.5,0,0,2,0,18,22,2,0,0,0,0,1,6,0,0,2,7.6475997,-0.48270035,0.051492438,3.0134072,0.18579221
450.7,0,0,3,0,24,30,3,0,0,0,0,1,9,0,0,3,9.49476,-0.19575942,0.07938605,1.5920883,-0.17662655
378.7,0,0,3,6,18,30,3,0,0,0,0,1,3,0,0,3,7.755967,-0.05463946,0.2466015,2.7624674,0.44919536
